Tue 02 Jul 2024, 03:53PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, RED x=681 y=259 dx=-0.08859009238489668 dy=-0.04638745014802465 clicks=0 score=0,  RED: x=681,  y=259,  dx=-0.08859009238489668,  dy=-0.04638745014802465,  clicks=0,  score=0,ORANGE x=1334 y=145 dx=0.061307495659009115 dy=0.07900247449302192 clicks=0 score=0,  ORANGE: x=1334,  y=145,  dx=0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0,YELLOW x=343 y=621 dx=0.08662183323260902 dy=-0.04996656889783479 clicks=0 score=0,  YELLOW: x=343,  y=621,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=0,  score=0,
5.303, 11, Clicked: ORANGE, x=907,  y=635,  RED: x=190,  y=349,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, DARK_ORANGE: x=898,  y=651,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=5,  score=4, YELLOW: x=883,  y=309,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
5.531, 12, Clicked: ORANGE, x=907,  y=635,  RED: x=214,  y=362,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, DARK_ORANGE: x=881,  y=673,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=6,  score=5, YELLOW: x=907,  y=295,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
6.237, 13, Clicked: RED, x=337,  y=419,  DARK_RED: x=291,  y=402,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=1,  score=1, ORANGE: x=828,  y=740,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=982,  y=252,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
6.383, 14, Clicked: RED, x=337,  y=418,  DARK_RED: x=307,  y=410,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=2,  score=2, ORANGE: x=817,  y=725,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=997,  y=243,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
6.547, 15, Clicked: RED, x=352,  y=432,  DARK_RED: x=324,  y=419,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=3,  score=3, ORANGE: x=805,  y=709,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1015,  y=233,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
6.807, 16, Clicked: RED, x=358,  y=449,  DARK_RED: x=353,  y=434,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=4,  score=4, ORANGE: x=785,  y=684,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1043,  y=217,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
6.955, 17, Clicked: RED, x=361,  y=450,  DARK_RED: x=369,  y=442,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=5,  score=5, ORANGE: x=774,  y=670,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1058,  y=208,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
7.052, 18, Clicked: RED, x=372,  y=450,  DARK_RED: x=379,  y=448,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=6,  score=5, ORANGE: x=767,  y=660,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1069,  y=202,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
7.168, 18, Clicked: RED, x=380,  y=456,  DARK_RED: x=392,  y=455,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=7,  score=6, ORANGE: x=758,  y=649,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1081,  y=195,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
7.282, 19, Clicked: RED, x=388,  y=460,  DARK_RED: x=404,  y=461,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=8,  score=7, ORANGE: x=750,  y=638,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1093,  y=188,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
7.397, 20, Clicked: RED, x=397,  y=464,  DARK_RED: x=416,  y=468,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=9,  score=8, ORANGE: x=741,  y=627,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1105,  y=181,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
7.497, 21, Clicked: RED, x=411,  y=469,  DARK_RED: x=427,  y=473,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=10,  score=9, ORANGE: x=734,  y=618,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1115,  y=175,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
7.647, 22, Clicked: RED, x=444,  y=481,  DARK_RED: x=443,  y=481,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=11,  score=10, ORANGE: x=723,  y=604,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1131,  y=166,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
7.761, 23, Clicked: RED, x=461,  y=493,  DARK_RED: x=455,  y=488,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=12,  score=11, ORANGE: x=714,  y=593,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1143,  y=160,  dx=0.08662183323260902,  dy=0.04996656889783479,  clicks=8,  score=8,
7.857, 24, Clicked: RED, x=463,  y=495,  DARK_RED: x=466,  y=493,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=13,  score=11, ORANGE: x=707,  y=583,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1153,  y=165,  dx=0.08662183323260902,  dy=0.04996656889783479,  clicks=8,  score=8,
7.972, 24, Clicked: RED, x=476,  y=503,  DARK_RED: x=478,  y=500,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=14,  score=12, ORANGE: x=698,  y=572,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1166,  y=172,  dx=0.08662183323260902,  dy=0.04996656889783479,  clicks=8,  score=8,
8.204, 25, Clicked: RED, x=502,  y=519,  DARK_RED: x=503,  y=513,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=15,  score=13, ORANGE: x=681,  y=550,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1190,  y=186,  dx=0.08662183323260902,  dy=0.04996656889783479,  clicks=8,  score=8,
8.337, 26, Clicked: RED, x=553,  y=541,  DARK_RED: x=517,  y=520,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=16,  score=14, ORANGE: x=671,  y=537,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1204,  y=194,  dx=0.08662183323260902,  dy=0.04996656889783479,  clicks=8,  score=8,
8.466, 27, Clicked: RED, x=553,  y=541,  DARK_RED: x=532,  y=528,  dx=0.08859009238489668,  dy=0.04638745014802465,  clicks=17,  score=15, ORANGE: x=662,  y=525,  dx=-0.061307495659009115,  dy=-0.07900247449302192,  clicks=6,  score=5, YELLOW: x=1218,  y=202,  dx=0.08662183323260902,  dy=0.04996656889783479,  clicks=8,  score=8,
9.712, 28, Clicked: RED, x=451,  y=612,  DARK_RED: x=473,  y=620,  dx=-0.04554973736891563,  dy=0.061438235715773004,  clicks=18,  score=16, ORANGE: x=761,  y=383,  dx=0.07283233409480319,  dy=-0.09405326006077028,  clicks=6,  score=5, YELLOW: x=1210,  y=278,  dx=-0.08662183323260902,  dy=0.04996656889783479,  clicks=8,  score=8,
9.858, 29, Clicked: RED, x=450,  y=612,  DARK_RED: x=465,  y=631,  dx=-0.04554973736891563,  dy=0.061438235715773004,  clicks=19,  score=17, ORANGE: x=775,  y=366,  dx=0.07283233409480319,  dy=-0.09405326006077028,  clicks=6,  score=5, YELLOW: x=1195,  y=287,  dx=-0.08662183323260902,  dy=0.04996656889783479,  clicks=8,  score=8,
10.003, 30, Clicked: RED, x=450,  y=612,  DARK_RED: x=457,  y=642,  dx=-0.04554973736891563,  dy=0.061438235715773004,  clicks=20,  score=18, ORANGE: x=788,  y=349,  dx=0.07283233409480319,  dy=-0.09405326006077028,  clicks=6,  score=5, YELLOW: x=1179,  y=296,  dx=-0.08662183323260902,  dy=0.04996656889783479,  clicks=8,  score=8,
################# INIT balls ######################
10.003, Init stimuli, 31, RED x=1135 y=670 dx=0.002214253904205007 dy=-0.09997548239267323 clicks=0 score=0,  RED: x=1135,  y=670,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0,ORANGE x=152 y=580 dx=0.09874188160180877 dy=-0.015812679018255543 clicks=0 score=0,  ORANGE: x=152,  y=580,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=0,  score=0,YELLOW x=779 y=590 dx=-0.07726937447892977 dy=0.06347789983635974 clicks=0 score=0,  YELLOW: x=779,  y=590,  dx=-0.07726937447892977,  dy=0.06347789983635974,  clicks=0,  score=0,
0.13299999999999912, 31, Clicked: None, x=450, y=612,  RED: x=1135,  y=656,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, ORANGE: x=171,  y=578,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=0,  score=0, YELLOW: x=768,  y=599,  dx=-0.07726937447892977,  dy=0.06347789983635974,  clicks=0,  score=0,
0.24499999999999922, 31, Clicked: None, x=450, y=612,  RED: x=1136,  y=642,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, ORANGE: x=185,  y=575,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=0,  score=0, YELLOW: x=757,  y=608,  dx=-0.07726937447892977,  dy=0.06347789983635974,  clicks=0,  score=0,
0.6530000000000005, 31, Clicked: YELLOW, x=711,  y=639,  RED: x=1137,  y=592,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, ORANGE: x=235,  y=568,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=0,  score=0, DARK_YELLOW: x=719,  y=640,  dx=-0.07726937447892977,  dy=0.06347789983635974,  clicks=1,  score=1,
0.8179999999999996, 32, Clicked: YELLOW, x=706,  y=643,  RED: x=1137,  y=572,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, ORANGE: x=254,  y=564,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=0,  score=0, DARK_YELLOW: x=703,  y=653,  dx=-0.07726937447892977,  dy=0.06347789983635974,  clicks=2,  score=2,
1.045, 33, Clicked: YELLOW, x=687,  y=676,  RED: x=1138,  y=544,  dx=0.002214253904205007,  dy=-0.09997548239267323,  clicks=0,  score=0, ORANGE: x=282,  y=560,  dx=0.09874188160180877,  dy=-0.015812679018255543,  clicks=0,  score=0, DARK_YELLOW: x=682,  y=670,  dx=-0.07726937447892977,  dy=0.06347789983635974,  clicks=3,  score=3,
