Fri 02 Feb 2024, 09:17PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=841 y=626 dx=0.09919994584787178 dy=0.012624212600368629 clicks=0 score=0, RED x=665 y=323 dx=-0.033611487525881625 dy=-0.09418209971272411 clicks=0 score=0, GREEN x=544 y=363 dx=0.031525487372278733 dy=-0.09490070413827442 clicks=0 score=0, 
3.52, 3, Clicked: BLUE, x=1076,  y=592,  DARK_BLUE: x=1050,  y=593,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=3,  score=1, RED: x=709,  y=233,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=495,  y=204,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=6,  score=1,
3.6220000000000003, 3, Clicked: BLUE, x=1086,  y=592,  DARK_BLUE: x=1056,  y=592,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=4,  score=1, RED: x=711,  y=240,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=494,  y=199,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=6,  score=1,
3.756, 3, Clicked: BLUE, x=1086,  y=591,  DARK_BLUE: x=1064,  y=591,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=5,  score=1, RED: x=713,  y=249,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=492,  y=193,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=6,  score=1,
3.8569999999999998, 3, Clicked: BLUE, x=1088,  y=591,  DARK_BLUE: x=1070,  y=591,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=6,  score=1, RED: x=714,  y=256,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=490,  y=189,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=6,  score=1,
3.9899999999999998, 3, Clicked: BLUE, x=1093,  y=590,  DARK_BLUE: x=1077,  y=590,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=7,  score=1, RED: x=716,  y=265,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=488,  y=183,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=6,  score=1,
4.0920000000000005, 3, Clicked: BLUE, x=1097,  y=589,  DARK_BLUE: x=1083,  y=589,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=8,  score=1, RED: x=718,  y=272,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=486,  y=179,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=6,  score=1,
4.224, 3, Clicked: BLUE, x=1097,  y=589,  DARK_BLUE: x=1091,  y=588,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=9,  score=1, RED: x=720,  y=281,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=484,  y=173,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=6,  score=1,
4.3580000000000005, 3, Clicked: BLUE, x=1097,  y=589,  DARK_BLUE: x=1099,  y=587,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=10,  score=2, RED: x=722,  y=290,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=482,  y=167,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=6,  score=1,
4.459, 4, Clicked: BLUE, x=1097,  y=589,  DARK_BLUE: x=1105,  y=586,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=11,  score=2, RED: x=723,  y=297,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=480,  y=162,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=6,  score=1,
4.561, 4, Clicked: BLUE, x=1097,  y=589,  DARK_BLUE: x=1111,  y=585,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=12,  score=2, RED: x=725,  y=304,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, GREEN: x=479,  y=161,  dx=-0.026686661442923858,  dy=0.07446061248532437,  clicks=6,  score=1,
