Tue 22 Oct 2024, 11:46PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
7.777, 12, Clicked: None, x=789, y=557, Clicked: None, x=789, y=557, Clicked: (255, 0, 0), x=789,  y=557,  (255, 0, 0): x=1519,  y=755,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=0,  score=0, (255, 0, 0): x=1267,  y=242,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=4,  score=4, (204, 0, 0): x=792,  y=547,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=9,  score=9,
8.728, 13, Clicked: (255, 0, 0), x=1430,  y=749, Clicked: None, x=1430, y=749, Clicked: None, x=1430, y=749,  (204, 0, 0): x=1443,  y=748,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=1,  score=1, (255, 0, 0): x=1190,  y=200,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=4,  score=4, (255, 0, 0): x=907,  y=562,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=9,  score=9,
8.845, 14, Clicked: (255, 0, 0), x=1430,  y=749, Clicked: None, x=1430, y=749, Clicked: None, x=1430, y=749,  (204, 0, 0): x=1434,  y=747,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=2,  score=2, (255, 0, 0): x=1180,  y=215,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=4,  score=4, (255, 0, 0): x=921,  y=564,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=9,  score=9,
9.227, 15, Clicked: (255, 0, 0), x=1408,  y=736, Clicked: None, x=1408, y=736, Clicked: None, x=1408, y=736,  (204, 0, 0): x=1405,  y=744,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=3,  score=3, (255, 0, 0): x=1150,  y=264,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=4,  score=4, (255, 0, 0): x=967,  y=570,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=9,  score=9,
9.375, 16, Clicked: (255, 0, 0), x=1408,  y=736, Clicked: None, x=1408, y=736, Clicked: None, x=1408, y=736,  (204, 0, 0): x=1393,  y=743,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=4,  score=4, (255, 0, 0): x=1138,  y=283,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=4,  score=4, (255, 0, 0): x=985,  y=572,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=9,  score=9,
9.526, 17, Clicked: (255, 0, 0), x=1400,  y=736, Clicked: None, x=1400, y=736, Clicked: None, x=1400, y=736,  (204, 0, 0): x=1381,  y=742,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=5,  score=5, (255, 0, 0): x=1126,  y=302,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=4,  score=4, (255, 0, 0): x=1002,  y=574,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=9,  score=9,
9.692, 18, Clicked: (255, 0, 0), x=1376,  y=743, Clicked: None, x=1376, y=743, Clicked: None, x=1376, y=743,  (204, 0, 0): x=1368,  y=741,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=6,  score=6, (255, 0, 0): x=1113,  y=324,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=4,  score=4, (255, 0, 0): x=1022,  y=577,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=9,  score=9,
9.825, 19, Clicked: (255, 0, 0), x=1376,  y=742, Clicked: None, x=1376, y=742, Clicked: None, x=1376, y=742,  (204, 0, 0): x=1358,  y=740,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=7,  score=7, (255, 0, 0): x=1102,  y=341,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=4,  score=4, (255, 0, 0): x=1038,  y=579,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=9,  score=9,
10.583, 20, Clicked: None, x=1102, y=585, Clicked: None, x=1102, y=585, Clicked: (255, 0, 0), x=1102,  y=585,  (255, 0, 0): x=1298,  y=734,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=7,  score=7, (255, 0, 0): x=1041,  y=439,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=4,  score=4, (204, 0, 0): x=1129,  y=591,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=10,  score=10,
10.733, 21, Clicked: None, x=1102, y=585, Clicked: None, x=1102, y=585, Clicked: (255, 0, 0), x=1102,  y=585,  (255, 0, 0): x=1287,  y=733,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=7,  score=7, (255, 0, 0): x=1029,  y=458,  dx=-0.06630387066194215,  dy=0.10662844006165124,  clicks=4,  score=4, (204, 0, 0): x=1147,  y=593,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=11,  score=11,
