Tue 20 Aug 2024, 04:29PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
988.983, 13, Clicked: ORANGE, x=757,  y=726,  RED: x=843,  y=384,  dx=-0.0017911861511281657,  dy=0.013659212840452732,  clicks=13,  score=13, DARK_ORANGE: x=749,  y=728,  dx=-0.0045661690241527025,  dy=-0.1392838687933234,  clicks=4,  score=0, YELLOW: x=1064,  y=229,  dx=-0.03231140909735544,  dy=0.09667132146247766,  clicks=0,  score=0,
990.865, 13, Clicked: ORANGE, x=757,  y=726,  RED: x=843,  y=384,  dx=-0.0017911861511281657,  dy=0.013659212840452732,  clicks=13,  score=13, DARK_ORANGE: x=749,  y=726,  dx=-0.0045661690241527025,  dy=-0.1392838687933234,  clicks=5,  score=0, YELLOW: x=1064,  y=231,  dx=-0.03231140909735544,  dy=0.09667132146247766,  clicks=0,  score=0,
994.673, 13, Clicked: ORANGE, x=756,  y=523,  RED: x=839,  y=409,  dx=-0.0017911861511281657,  dy=0.013659212840452732,  clicks=13,  score=13, DARK_ORANGE: x=741,  y=478,  dx=-0.0045661690241527025,  dy=-0.1392838687933234,  clicks=6,  score=0, YELLOW: x=1006,  y=403,  dx=-0.03231140909735544,  dy=0.09667132146247766,  clicks=0,  score=0,
998.371, 13, Clicked: ORANGE, x=750,  y=517,  RED: x=839,  y=409,  dx=0.06700157058717805,  dy=-0.03240584094625936,  clicks=13,  score=13, DARK_ORANGE: x=741,  y=475,  dx=-0.07335892576245892,  dy=-0.09321881500661132,  clicks=7,  score=0, YELLOW: x=1005,  y=405,  dx=-0.03231140909735544,  dy=0.09667132146247766,  clicks=0,  score=0,
998.371, 13, Clicked: ORANGE, x=750,  y=515,  RED: x=839,  y=409,  dx=0.06700157058717805,  dy=-0.03240584094625936,  clicks=13,  score=13, DARK_ORANGE: x=741,  y=475,  dx=-0.07335892576245892,  dy=-0.09321881500661132,  clicks=8,  score=0, YELLOW: x=1005,  y=405,  dx=-0.03231140909735544,  dy=0.09667132146247766,  clicks=0,  score=0,
998.371, 13, Clicked: ORANGE, x=750,  y=515,  RED: x=839,  y=409,  dx=0.06700157058717805,  dy=-0.03240584094625936,  clicks=13,  score=13, DARK_ORANGE: x=741,  y=475,  dx=-0.07335892576245892,  dy=-0.09321881500661132,  clicks=9,  score=0, YELLOW: x=1005,  y=405,  dx=-0.03231140909735544,  dy=0.09667132146247766,  clicks=0,  score=0,
998.371, 13, Clicked: ORANGE, x=750,  y=515,  RED: x=839,  y=409,  dx=0.06700157058717805,  dy=-0.03240584094625936,  clicks=13,  score=13, DARK_ORANGE: x=741,  y=475,  dx=-0.07335892576245892,  dy=-0.09321881500661132,  clicks=10,  score=1, YELLOW: x=1005,  y=405,  dx=-0.03231140909735544,  dy=0.09667132146247766,  clicks=0,  score=0,
998.371, 14, Clicked: ORANGE, x=750,  y=515,  RED: x=839,  y=409,  dx=0.06700157058717805,  dy=-0.03240584094625936,  clicks=13,  score=13, DARK_ORANGE: x=741,  y=475,  dx=-0.07335892576245892,  dy=-0.09321881500661132,  clicks=11,  score=2, YELLOW: x=1005,  y=405,  dx=-0.03231140909735544,  dy=0.09667132146247766,  clicks=0,  score=0,
998.371, 15, Clicked: ORANGE, x=750,  y=515,  RED: x=839,  y=409,  dx=0.06700157058717805,  dy=-0.03240584094625936,  clicks=13,  score=13, DARK_ORANGE: x=741,  y=475,  dx=-0.07335892576245892,  dy=-0.09321881500661132,  clicks=12,  score=2, YELLOW: x=1005,  y=405,  dx=-0.03231140909735544,  dy=0.09667132146247766,  clicks=0,  score=0,
################# INIT balls ######################
1007.453, Init stimuli, 15, 
2.09800000000007, 15, Clicked: ORANGE, x=355,  y=297,  RED: x=774,  y=222,  dx=0.0788954203719952,  dy=0.06144520033595924,  clicks=0,  score=0, DARK_ORANGE: x=347,  y=291,  dx=0.09959063304486471,  dy=0.009039126601785413,  clicks=1,  score=1, YELLOW: x=933,  y=679,  dx=0.0885374007806016,  dy=-0.04648794104942838,  clicks=0,  score=0,
2.5400000000000773, 16, Clicked: ORANGE, x=405,  y=306,  RED: x=817,  y=255,  dx=0.0788954203719952,  dy=0.06144520033595924,  clicks=0,  score=0, DARK_ORANGE: x=401,  y=296,  dx=0.09959063304486471,  dy=0.009039126601785413,  clicks=2,  score=2, YELLOW: x=981,  y=654,  dx=0.0885374007806016,  dy=-0.04648794104942838,  clicks=0,  score=0,
2.689000000000078, 17, Clicked: ORANGE, x=413,  y=313,  RED: x=831,  y=266,  dx=0.0788954203719952,  dy=0.06144520033595924,  clicks=0,  score=0, DARK_ORANGE: x=418,  y=297,  dx=0.09959063304486471,  dy=0.009039126601785413,  clicks=3,  score=3, YELLOW: x=996,  y=646,  dx=0.0885374007806016,  dy=-0.04648794104942838,  clicks=0,  score=0,
2.921000000000049, 18, Clicked: ORANGE, x=424,  y=317,  RED: x=853,  y=284,  dx=0.0788954203719952,  dy=0.06144520033595924,  clicks=0,  score=0, DARK_ORANGE: x=446,  y=300,  dx=0.09959063304486471,  dy=0.009039126601785413,  clicks=4,  score=4, YELLOW: x=1021,  y=633,  dx=0.0885374007806016,  dy=-0.04648794104942838,  clicks=0,  score=0,
3.07000000000005, 19, Clicked: ORANGE, x=427,  y=318,  RED: x=867,  y=295,  dx=0.0788954203719952,  dy=0.06144520033595924,  clicks=0,  score=0, DARK_ORANGE: x=464,  y=301,  dx=0.09959063304486471,  dy=0.009039126601785413,  clicks=5,  score=5, YELLOW: x=1037,  y=624,  dx=0.0885374007806016,  dy=-0.04648794104942838,  clicks=0,  score=0,
3.205000000000041, 20, Clicked: ORANGE, x=454,  y=322,  RED: x=880,  y=305,  dx=0.0788954203719952,  dy=0.06144520033595924,  clicks=0,  score=0, DARK_ORANGE: x=480,  y=303,  dx=0.09959063304486471,  dy=0.009039126601785413,  clicks=6,  score=6, YELLOW: x=1051,  y=617,  dx=0.0885374007806016,  dy=-0.04648794104942838,  clicks=0,  score=0,
3.2889999999999873, 21, Clicked: ORANGE, x=500,  y=328,  RED: x=888,  y=311,  dx=0.0788954203719952,  dy=0.06144520033595924,  clicks=0,  score=0, DARK_ORANGE: x=490,  y=304,  dx=0.09959063304486471,  dy=0.009039126601785413,  clicks=7,  score=6, YELLOW: x=1060,  y=612,  dx=0.0885374007806016,  dy=-0.04648794104942838,  clicks=0,  score=0,
42.644000000000005, 21, Clicked: ORANGE, x=528,  y=469,  RED: x=162,  y=169,  dx=0.14702372345815629,  dy=-0.026462320831971517,  clicks=0,  score=0, DARK_ORANGE: x=517,  y=484,  dx=0.05381364411102887,  dy=-0.05860843933875946,  clicks=8,  score=7, YELLOW: x=904,  y=331,  dx=0.017096239578632995,  dy=0.03256733723720524,  clicks=0,  score=0,
42.8900000000001, 22, Clicked: ORANGE, x=546,  y=452,  RED: x=207,  y=161,  dx=0.14702372345815629,  dy=-0.026462320831971517,  clicks=0,  score=0, DARK_ORANGE: x=533,  y=466,  dx=0.05381364411102887,  dy=-0.05860843933875946,  clicks=9,  score=8, YELLOW: x=909,  y=341,  dx=0.017096239578632995,  dy=0.03256733723720524,  clicks=0,  score=0,
43.02500000000009, 23, Clicked: ORANGE, x=559,  y=439,  RED: x=230,  y=162,  dx=0.14702372345815629,  dy=0.026462320831971517,  clicks=0,  score=0, DARK_ORANGE: x=542,  y=457,  dx=0.05381364411102887,  dy=-0.05860843933875946,  clicks=10,  score=9, YELLOW: x=912,  y=346,  dx=0.017096239578632995,  dy=0.03256733723720524,  clicks=0,  score=0,
43.15800000000013, 24, Clicked: ORANGE, x=590,  y=415,  RED: x=254,  y=166,  dx=0.14702372345815629,  dy=0.026462320831971517,  clicks=0,  score=0, DARK_ORANGE: x=550,  y=448,  dx=0.05381364411102887,  dy=-0.05860843933875946,  clicks=11,  score=10, YELLOW: x=915,  y=351,  dx=0.017096239578632995,  dy=0.03256733723720524,  clicks=0,  score=0,
43.305000000000064, 25, Clicked: ORANGE, x=590,  y=415,  RED: x=280,  y=171,  dx=0.14702372345815629,  dy=0.026462320831971517,  clicks=0,  score=0, DARK_ORANGE: x=560,  y=437,  dx=0.05381364411102887,  dy=-0.05860843933875946,  clicks=12,  score=11, YELLOW: x=918,  y=357,  dx=0.017096239578632995,  dy=0.03256733723720524,  clicks=0,  score=0,
43.4380000000001, 26, Clicked: ORANGE, x=591,  y=415,  RED: x=304,  y=175,  dx=0.14702372345815629,  dy=0.026462320831971517,  clicks=0,  score=0, DARK_ORANGE: x=568,  y=428,  dx=0.05381364411102887,  dy=-0.05860843933875946,  clicks=13,  score=12, YELLOW: x=920,  y=362,  dx=0.017096239578632995,  dy=0.03256733723720524,  clicks=0,  score=0,
