Mon 29 Jan 2024, 10:54PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=586 y=673 dx=-0.037458718076026264 dy=0.09271916975523876 clicks=0 score=0, RED x=78 y=236 dx=0.022133948827668098 dy=0.0975196816509066 clicks=0 score=0, GREEN x=1246 y=438 dx=0.07872253998996817 dy=-0.06166653628612412 clicks=0 score=0, 
3.354, 2, Clicked: BLUE, x=500,  y=428,  DARK_BLUE: x=511,  y=436,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=5,  score=1, RED: x=203,  y=431,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, GREEN: x=1404,  y=315,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
3.4899999999999993, 2, Clicked: BLUE, x=500,  y=428,  DARK_BLUE: x=508,  y=428,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=6,  score=1, RED: x=205,  y=438,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, GREEN: x=1410,  y=310,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
3.624999999999999, 2, Clicked: BLUE, x=500,  y=428,  DARK_BLUE: x=505,  y=421,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=7,  score=1, RED: x=207,  y=446,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, GREEN: x=1416,  y=305,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
3.761, 2, Clicked: BLUE, x=500,  y=428,  DARK_BLUE: x=502,  y=414,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=8,  score=1, RED: x=209,  y=454,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, GREEN: x=1422,  y=300,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
3.8630000000000004, 2, Clicked: BLUE, x=500,  y=428,  DARK_BLUE: x=500,  y=408,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, RED: x=210,  y=460,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, GREEN: x=1427,  y=297,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
4.226999999999999, 3, Clicked: RED, x=230,  y=503,  BLUE: x=492,  y=388,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=215,  y=481,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=1,  score=1, GREEN: x=1444,  y=283,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
4.392, 4, Clicked: RED, x=229,  y=507,  BLUE: x=488,  y=378,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=217,  y=491,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=2,  score=1, GREEN: x=1452,  y=277,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
4.524, 4, Clicked: RED, x=228,  y=513,  BLUE: x=485,  y=371,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=219,  y=499,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=3,  score=1, GREEN: x=1459,  y=272,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
4.658, 4, Clicked: RED, x=228,  y=513,  BLUE: x=482,  y=364,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=221,  y=507,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=4,  score=1, GREEN: x=1455,  y=267,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
4.893999999999999, 4, Clicked: RED, x=228,  y=517,  BLUE: x=477,  y=351,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=224,  y=520,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=5,  score=1, GREEN: x=1444,  y=258,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
5.063999999999999, 4, Clicked: RED, x=228,  y=517,  BLUE: x=473,  y=341,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=226,  y=530,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=6,  score=1, GREEN: x=1436,  y=252,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
5.233999999999999, 4, Clicked: RED, x=233,  y=534,  BLUE: x=469,  y=332,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=9,  score=2, DARK_RED: x=228,  y=540,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=7,  score=2, GREEN: x=1428,  y=246,  dx=-0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
