Wed 31 Jan 2024, 12:41PM
################# Phase 1 ######################
################# INIT balls ######################
9.107, 3, Clicked: GREEN, x=407,  y=204,  BLUE: x=1326,  y=552,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, RED: x=606,  y=351,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=7,  score=1, DARK_GREEN: x=400,  y=209,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=4,  score=1,
9.175, 3, Clicked: GREEN, x=409,  y=203,  BLUE: x=1322,  y=553,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, RED: x=604,  y=354,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=7,  score=1, DARK_GREEN: x=402,  y=205,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=5,  score=1,
9.343, 3, Clicked: GREEN, x=416,  y=200,  BLUE: x=1312,  y=555,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, RED: x=599,  y=362,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=7,  score=1, DARK_GREEN: x=407,  y=197,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=6,  score=1,
9.478000000000002, 3, Clicked: GREEN, x=418,  y=199,  BLUE: x=1304,  y=557,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, RED: x=594,  y=369,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=7,  score=1, DARK_GREEN: x=411,  y=190,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=7,  score=1,
9.578, 3, Clicked: GREEN, x=418,  y=199,  BLUE: x=1299,  y=559,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, RED: x=591,  y=374,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=7,  score=1, DARK_GREEN: x=414,  y=185,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=8,  score=2,
9.815999999999999, 4, Clicked: GREEN, x=419,  y=198,  BLUE: x=1285,  y=562,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, RED: x=583,  y=385,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=7,  score=1, DARK_GREEN: x=421,  y=173,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=9,  score=2,
9.951999999999998, 4, Clicked: GREEN, x=420,  y=197,  BLUE: x=1277,  y=564,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, RED: x=578,  y=392,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=7,  score=1, DARK_GREEN: x=425,  y=166,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=10,  score=2,
################# Phase 2 ######################
################# INIT balls ######################
10.018999999999998, Init stimuli, 4, BLUE x=352 y=582 dx=-0.03881474289682795 dy=-0.09215972945844159 clicks=0 score=0, RED x=1095 y=119 dx=0.08528530836394267 dy=-0.05221509530075772 clicks=0 score=0, GREEN x=217 y=559 dx=0.04525845274149708 dy=0.08917215067186435 clicks=0 score=0, 
0.034000000000000696, 0, Clicked: None, x=420, y=197,  BLUE: x=351,  y=580,  dx=-0.03881474289682795,  dy=-0.09215972945844159,  clicks=0,  score=0, RED: x=1097,  y=160,  dx=0.08528530836394267,  dy=0.05221509530075772,  clicks=0,  score=0, GREEN: x=218,  y=561,  dx=0.04525845274149708,  dy=0.08917215067186435,  clicks=0,  score=0,
