Tue 20 Aug 2024, 04:49PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
10.665, Init stimuli, 8, 
8.036000000000001, 8, Clicked: RED, x=603,  y=405,  DARK_RED: x=582,  y=392,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=1,  score=1, ORANGE: x=960,  y=224,  dx=0.09373863324761729,  dy=-0.10010735433753833,  clicks=0,  score=0, YELLOW: x=434,  y=653,  dx=0.05312396513591178,  dy=0.08472215960560986,  clicks=0,  score=0,
8.152000000000001, 9, Clicked: RED, x=603,  y=405,  DARK_RED: x=581,  y=387,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=2,  score=2, ORANGE: x=973,  y=210,  dx=0.09373863324761729,  dy=-0.10010735433753833,  clicks=0,  score=0, YELLOW: x=441,  y=665,  dx=0.05312396513591178,  dy=0.08472215960560986,  clicks=0,  score=0,
8.299, 10, Clicked: RED, x=603,  y=405,  DARK_RED: x=579,  y=381,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=3,  score=3, ORANGE: x=990,  y=192,  dx=0.09373863324761729,  dy=-0.10010735433753833,  clicks=0,  score=0, YELLOW: x=451,  y=680,  dx=0.05312396513591178,  dy=0.08472215960560986,  clicks=0,  score=0,
8.433, 11, Clicked: RED, x=603,  y=405,  DARK_RED: x=578,  y=376,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=4,  score=4, ORANGE: x=1005,  y=176,  dx=0.09373863324761729,  dy=-0.10010735433753833,  clicks=0,  score=0, YELLOW: x=459,  y=693,  dx=0.05312396513591178,  dy=0.08472215960560986,  clicks=0,  score=0,
8.531000000000002, 12, Clicked: RED, x=603,  y=405,  DARK_RED: x=577,  y=372,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=5,  score=4, ORANGE: x=1016,  y=164,  dx=0.09373863324761729,  dy=-0.10010735433753833,  clicks=0,  score=0, YELLOW: x=466,  y=704,  dx=0.05312396513591178,  dy=0.08472215960560986,  clicks=0,  score=0,
8.793, 12, Clicked: RED, x=595,  y=367,  DARK_RED: x=574,  y=362,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=6,  score=5, ORANGE: x=1046,  y=186,  dx=0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=483,  y=731,  dx=0.05312396513591178,  dy=0.08472215960560986,  clicks=0,  score=0,
8.943000000000001, 13, Clicked: RED, x=595,  y=367,  DARK_RED: x=572,  y=356,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=7,  score=6, ORANGE: x=1063,  y=204,  dx=0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=492,  y=734,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
9.205000000000002, 14, Clicked: RED, x=595,  y=367,  DARK_RED: x=569,  y=345,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=8,  score=7, ORANGE: x=1093,  y=236,  dx=0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=509,  y=707,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
9.677, 15, Clicked: RED, x=592,  y=347,  DARK_RED: x=563,  y=326,  dx=-0.00958217091912636,  dy=-0.03316275387967506,  clicks=9,  score=8, ORANGE: x=1148,  y=294,  dx=0.09373863324761729,  dy=0.10010735433753833,  clicks=0,  score=0, YELLOW: x=540,  y=658,  dx=0.05312396513591178,  dy=-0.08472215960560986,  clicks=0,  score=0,
