Tue 20 Aug 2024, 04:27PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
5.288, 5, Clicked: ORANGE, x=722,  y=560,  RED: x=1190,  y=384,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=701,  y=550,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=12,  score=3, YELLOW: x=503,  y=521,  dx=0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
5.455, 6, Clicked: ORANGE, x=722,  y=560,  RED: x=1193,  y=404,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=682,  y=543,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=13,  score=4, YELLOW: x=523,  y=521,  dx=0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
5.829, 7, Clicked: ORANGE, x=668,  y=536,  RED: x=1199,  y=449,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=686,  y=532,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=14,  score=5, YELLOW: x=522,  y=518,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
6.027, 8, Clicked: ORANGE, x=730,  y=529,  RED: x=1202,  y=473,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=710,  y=530,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=15,  score=6, YELLOW: x=499,  y=514,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
6.174, 9, Clicked: ORANGE, x=743,  y=524,  RED: x=1204,  y=491,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=729,  y=528,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=16,  score=7, YELLOW: x=482,  y=511,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
6.305, 10, Clicked: ORANGE, x=762,  y=522,  RED: x=1206,  y=507,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=745,  y=526,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=17,  score=8, YELLOW: x=467,  y=508,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
6.42, 11, Clicked: ORANGE, x=768,  y=521,  RED: x=1208,  y=521,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=759,  y=524,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=18,  score=9, YELLOW: x=453,  y=505,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
6.55, 12, Clicked: ORANGE, x=791,  y=518,  RED: x=1210,  y=536,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=775,  y=522,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=19,  score=10, YELLOW: x=438,  y=502,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
6.666, 13, Clicked: ORANGE, x=812,  y=518,  RED: x=1211,  y=550,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=790,  y=520,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=20,  score=11, YELLOW: x=424,  y=500,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
6.796, 14, Clicked: ORANGE, x=817,  y=516,  RED: x=1213,  y=566,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=806,  y=518,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=409,  y=497,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
7.658, 15, Clicked: RED, x=1235,  y=683,  DARK_RED: x=1227,  y=669,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=4,  score=3, ORANGE: x=912,  y=506,  dx=0.1017085618945172,  dy=-0.011846596073036068,  clicks=21,  score=12, YELLOW: x=309,  y=479,  dx=-0.09590828450044392,  dy=-0.01779403166832634,  clicks=0,  score=0,
