Tue 30 Jan 2024, 09:02AM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=490 y=576 dx=0.05402515145373826 dy=-0.08415035953815435 clicks=0 score=0, RED x=198 y=121 dx=-0.09479895037977487 dy=0.031830158763238706 clicks=0 score=0, GREEN x=370 y=292 dx=-0.09987169455774997 dy=0.005064052346046443 clicks=0 score=0, 
7.699, 5, Clicked: RED, x=367,  y=372,  BLUE: x=738,  y=190,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=382,  y=365,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=5,  score=2, GREEN: x=234,  y=574,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
7.799000000000001, 5, Clicked: RED, x=378,  y=375,  BLUE: x=741,  y=185,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=385,  y=369,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=6,  score=2, GREEN: x=237,  y=568,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
7.898, 5, Clicked: RED, x=386,  y=384,  BLUE: x=744,  y=180,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=388,  y=373,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=7,  score=2, GREEN: x=240,  y=562,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.031, 5, Clicked: RED, x=393,  y=392,  BLUE: x=748,  y=174,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=392,  y=378,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=8,  score=2, GREEN: x=244,  y=553,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.165000000000001, 5, Clicked: RED, x=393,  y=393,  BLUE: x=753,  y=167,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=396,  y=383,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=9,  score=2, GREEN: x=248,  y=545,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.299000000000001, 5, Clicked: RED, x=421,  y=433,  BLUE: x=757,  y=160,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=399,  y=389,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=10,  score=2, GREEN: x=253,  y=537,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.432, 5, Clicked: RED, x=421,  y=433,  BLUE: x=761,  y=165,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=403,  y=394,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=11,  score=3, GREEN: x=257,  y=528,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.533000000000001, 6, Clicked: RED, x=421,  y=433,  BLUE: x=765,  y=170,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=406,  y=398,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=12,  score=3, GREEN: x=260,  y=522,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.668000000000001, 6, Clicked: RED, x=422,  y=438,  BLUE: x=769,  y=176,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=409,  y=403,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=13,  score=3, GREEN: x=264,  y=514,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.802, 6, Clicked: RED, x=429,  y=445,  BLUE: x=773,  y=183,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=413,  y=409,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=14,  score=3, GREEN: x=268,  y=506,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.904, 6, Clicked: RED, x=429,  y=445,  BLUE: x=776,  y=188,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=416,  y=413,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=15,  score=3, GREEN: x=271,  y=499,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
9.005, 6, Clicked: RED, x=429,  y=445,  BLUE: x=780,  y=193,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=419,  y=417,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=16,  score=3, GREEN: x=274,  y=493,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
9.174000000000001, 6, Clicked: RED, x=429,  y=445,  BLUE: x=785,  y=202,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=423,  y=423,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=17,  score=3, GREEN: x=279,  y=483,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
9.276, 6, Clicked: RED, x=429,  y=445,  BLUE: x=788,  y=207,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=426,  y=427,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=18,  score=3, GREEN: x=283,  y=477,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
9.412, 6, Clicked: RED, x=429,  y=445,  BLUE: x=793,  y=213,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=430,  y=433,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=19,  score=3, GREEN: x=287,  y=468,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
9.548, 6, Clicked: RED, x=429,  y=446,  BLUE: x=797,  y=220,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=434,  y=438,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=20,  score=4, GREEN: x=291,  y=460,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
9.751000000000001, 7, Clicked: RED, x=431,  y=447,  BLUE: x=803,  y=230,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=439,  y=446,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=21,  score=4, GREEN: x=297,  y=448,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
9.884, 7, Clicked: RED, x=434,  y=450,  BLUE: x=808,  y=237,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=443,  y=451,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=22,  score=4, GREEN: x=301,  y=439,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
################# Phase 2 ######################
################# INIT balls ######################
10.016, Init stimuli, 7, BLUE x=1005 y=310 dx=-0.03724434347189592 dy=-0.09280548948929393 clicks=0 score=0, RED x=946 y=294 dx=-0.0012827840559781543 dy=-0.09999177198682764 clicks=0 score=0,  RED: x=946,  y=294,  dx=-0.0012827840559781543,  dy=-0.09999177198682764,  clicks=0,  score=0,RED x=869 y=75 dx=-0.008458375481377211 dy=-0.09964163730196346 clicks=0 score=0, GREEN x=1391 y=592 dx=0.07910117243422117 dy=0.061180099048069626 clicks=0 score=0, 
0.0990000000000002, 0, Clicked: None, x=438, y=459,  BLUE: x=1003,  y=305,  dx=-0.03724434347189592,  dy=-0.09280548948929393,  clicks=0,  score=0, RED: x=869,  y=163,  dx=-0.008458375481377211,  dy=0.09964163730196346,  clicks=0,  score=0, GREEN: x=1395,  y=595,  dx=0.07910117243422117,  dy=0.061180099048069626,  clicks=0,  score=0,
0.23099999999999987, 0, Clicked: None, x=440, y=459,  BLUE: x=1000,  y=297,  dx=-0.03724434347189592,  dy=-0.09280548948929393,  clicks=0,  score=0, RED: x=868,  y=171,  dx=-0.008458375481377211,  dy=0.09964163730196346,  clicks=0,  score=0, GREEN: x=1402,  y=600,  dx=0.07910117243422117,  dy=0.061180099048069626,  clicks=0,  score=0,
