Mon 15 Jan 2024, 11:09PM
################# Phase 1 ######################
################# INIT particles ######################
4.125, Init stimuli, 0, RED x=1842 y=296 dx=0.11571252589398219 dy=0.10886839377055373 clicks=0 score=0, ORANGE x=154 y=679 dx=0.11383536834008003 dy=0.11579290383824718 clicks=0 score=0, YELLOW x=122 y=273 dx=0.11681256747924049 dy=0.1057645701206743 clicks=0 score=0,  RED: x=1842,  y=296,  dx=0.11571252589398219,  dy=0.10886839377055373,  clicks=0,  score=0, ORANGE: x=154,  y=679,  dx=0.11383536834008003,  dy=0.11579290383824718,  clicks=0,  score=0, YELLOW: x=122,  y=273,  dx=0.11681256747924049,  dy=0.1057645701206743,  clicks=0,  score=0,
4.102000000000001, 5, Clicked: RED, x=1132,  y=868,  RED: x=1181,  y=843,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=5,  score=4, ORANGE: x=699,  y=917,  dx=0.09446166776058099,  dy=0.10379258351973018,  clicks=5,  score=1, YELLOW: x=773,  y=465,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
4.250000000000001, 5, Clicked: RED, x=1132,  y=868,  RED: x=1160,  y=863,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=6,  score=4, ORANGE: x=716,  y=905,  dx=0.09446166776058099,  dy=-0.10379258351973018,  clicks=5,  score=1, YELLOW: x=798,  y=445,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
4.481000000000001, 5, Clicked: RED, x=1132,  y=868,  RED: x=1128,  y=893,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=7,  score=4, ORANGE: x=742,  y=876,  dx=0.09446166776058099,  dy=-0.10379258351973018,  clicks=5,  score=1, YELLOW: x=836,  y=413,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
4.631000000000001, 5, Clicked: RED, x=1132,  y=868,  RED: x=1107,  y=913,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=8,  score=4, ORANGE: x=759,  y=857,  dx=0.09446166776058099,  dy=-0.10379258351973018,  clicks=5,  score=1, YELLOW: x=861,  y=393,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
4.832, 5, Clicked: RED, x=1101,  y=871,  RED: x=1079,  y=902,  dx=-0.11571252589398219,  dy=-0.10886839377055373,  clicks=9,  score=4, ORANGE: x=782,  y=832,  dx=0.09446166776058099,  dy=-0.10379258351973018,  clicks=5,  score=1, YELLOW: x=893,  y=365,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
4.982, 5, Clicked: RED, x=1081,  y=877,  RED: x=1058,  y=882,  dx=-0.11571252589398219,  dy=-0.10886839377055373,  clicks=10,  score=4, ORANGE: x=799,  y=814,  dx=0.09446166776058099,  dy=-0.10379258351973018,  clicks=5,  score=1, YELLOW: x=918,  y=345,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
################# Phase 2 ######################
################# INIT particles ######################
9.157, Init stimuli, 5, RED x=312 y=191 dx=0.10482937038675484 dy=0.1011005304520412 clicks=0 score=0, ORANGE x=1023 y=675 dx=0.11463579992227624 dy=0.11348020545909937 clicks=0 score=0, YELLOW x=1133 y=683 dx=0.11891528226243349 dy=0.10173916839884675 clicks=0 score=0,  YELLOW: x=1133,  y=683,  dx=0.11891528226243349,  dy=0.10173916839884675,  clicks=0,  score=0, RED: x=312,  y=191,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1023,  y=675,  dx=0.11463579992227624,  dy=0.11348020545909937,  clicks=0,  score=0,YELLOW x=1216 y=577 dx=0.11731589671638003 dy=0.10623516815519778 clicks=0 score=0,  RED: x=312,  y=191,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1023,  y=675,  dx=0.11463579992227624,  dy=0.11348020545909937,  clicks=0,  score=0, YELLOW: x=1216,  y=577,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=0,  score=0,
5.132000000000001, 0, Clicked: None, x=1050, y=867,  RED: x=325,  y=203,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1036,  y=688,  dx=0.11463579992227624,  dy=0.11348020545909937,  clicks=0,  score=0, YELLOW: x=1230,  y=590,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=0,  score=0,
5.283, 0, Clicked: None, x=1018, y=854,  RED: x=344,  y=221,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1057,  y=709,  dx=0.11463579992227624,  dy=0.11348020545909937,  clicks=0,  score=0, YELLOW: x=1251,  y=609,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=0,  score=0,
5.599000000000001, 0, Clicked: ORANGE, x=1053,  y=777,  RED: x=384,  y=260,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1100,  y=752,  dx=0.11463579992227624,  dy=0.11348020545909937,  clicks=1,  score=1, YELLOW: x=1296,  y=650,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=0,  score=0,
5.846000000000001, 1, Clicked: ORANGE, x=1101,  y=791,  RED: x=415,  y=290,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1135,  y=786,  dx=0.11463579992227624,  dy=0.11348020545909937,  clicks=2,  score=2, YELLOW: x=1331,  y=681,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=0,  score=0,
5.995, 2, Clicked: ORANGE, x=1129,  y=798,  RED: x=434,  y=308,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1156,  y=806,  dx=0.11463579992227624,  dy=0.11348020545909937,  clicks=3,  score=3, YELLOW: x=1352,  y=701,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=0,  score=0,
6.324000000000001, 3, Clicked: YELLOW, x=1444,  y=754,  RED: x=476,  y=349,  dx=0.10482937038675484,  dy=0.1011005304520412,  clicks=0,  score=0, ORANGE: x=1201,  y=852,  dx=0.11463579992227624,  dy=0.11348020545909937,  clicks=3,  score=3, YELLOW: x=1399,  y=743,  dx=0.11731589671638003,  dy=0.10623516815519778,  clicks=1,  score=0,
