Mon 29 Jan 2024, 10:53PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=604 y=194 dx=0.048348754792238734 dy=0.0875351238648805 clicks=0 score=0, RED x=727 y=453 dx=0.0764614007891713 dy=0.06444884940290024 clicks=0 score=0, GREEN x=354 y=303 dx=-0.060466043570497056 dy=-0.07964833692507806 clicks=0 score=0, 
5.601000000000001, 4, Clicked: BLUE, x=772,  y=478,  DARK_BLUE: x=765,  y=486,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=9,  score=2, RED: x=982,  y=572,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=166,  y=282,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
5.7010000000000005, 4, Clicked: BLUE, x=772,  y=478,  DARK_BLUE: x=768,  y=491,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=10,  score=2, RED: x=987,  y=568,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=169,  y=287,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
5.936999999999999, 4, Clicked: BLUE, x=772,  y=483,  DARK_BLUE: x=775,  y=504,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=11,  score=3, RED: x=997,  y=559,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=178,  y=298,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
6.104000000000001, 5, Clicked: BLUE, x=784,  y=504,  DARK_BLUE: x=780,  y=512,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=12,  score=3, RED: x=1005,  y=552,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=184,  y=306,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
6.273, 5, Clicked: BLUE, x=788,  y=510,  DARK_BLUE: x=785,  y=521,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=13,  score=3, RED: x=1013,  y=546,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=190,  y=314,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
6.4079999999999995, 5, Clicked: BLUE, x=809,  y=549,  DARK_BLUE: x=789,  y=528,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=14,  score=3, RED: x=1019,  y=541,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=195,  y=320,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
6.5760000000000005, 5, Clicked: BLUE, x=809,  y=549,  DARK_BLUE: x=794,  y=537,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=15,  score=3, RED: x=1027,  y=534,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=201,  y=328,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
6.708, 5, Clicked: BLUE, x=809,  y=549,  DARK_BLUE: x=797,  y=544,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=16,  score=3, RED: x=1033,  y=529,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=205,  y=335,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
6.808, 5, Clicked: BLUE, x=809,  y=549,  DARK_BLUE: x=800,  y=549,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=17,  score=3, RED: x=1037,  y=525,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=209,  y=340,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
6.9399999999999995, 5, Clicked: BLUE, x=809,  y=549,  DARK_BLUE: x=804,  y=556,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=18,  score=4, RED: x=1043,  y=520,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=214,  y=346,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
