Tue 20 Aug 2024, 05:21PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
################# INIT balls ######################
10.006, Init stimuli, 0, 
30.103, 11, Clicked: None, x=722, y=357,  RED: x=1268,  y=497,  dx=0.03873427856937978,  dy=-0.09219357712828853,  clicks=0,  score=0, ORANGE: x=1030,  y=289,  dx=-0.08717271871384781,  dy=-0.04899915419715292,  clicks=0,  score=0, YELLOW: x=552,  y=161,  dx=0.09831873430913846,  dy=0.01825996943724281,  clicks=0,  score=0,
30.268, 11, Clicked: None, x=720, y=419,  RED: x=1275,  y=479,  dx=0.03873427856937978,  dy=-0.09219357712828853,  clicks=0,  score=0, ORANGE: x=1012,  y=279,  dx=-0.08717271871384781,  dy=-0.04899915419715292,  clicks=0,  score=0, YELLOW: x=572,  y=164,  dx=0.09831873430913846,  dy=0.01825996943724281,  clicks=0,  score=0,
30.907, 11, Clicked: ORANGE, x=932,  y=240,  RED: x=1254,  y=407,  dx=-0.03873427856937978,  dy=-0.09219357712828853,  clicks=0,  score=0, DARK_ORANGE: x=944,  y=241,  dx=-0.08717271871384781,  dy=-0.04899915419715292,  clicks=1,  score=1, YELLOW: x=649,  y=178,  dx=0.09831873430913846,  dy=0.01825996943724281,  clicks=0,  score=0,
31.054, 12, Clicked: ORANGE, x=932,  y=240,  RED: x=1247,  y=391,  dx=-0.03873427856937978,  dy=-0.09219357712828853,  clicks=0,  score=0, DARK_ORANGE: x=928,  y=232,  dx=-0.08717271871384781,  dy=-0.04899915419715292,  clicks=2,  score=2, YELLOW: x=666,  y=182,  dx=0.09831873430913846,  dy=0.01825996943724281,  clicks=0,  score=0,
31.402, 13, Clicked: ORANGE, x=887,  y=227,  RED: x=1231,  y=352,  dx=-0.03873427856937978,  dy=-0.09219357712828853,  clicks=0,  score=0, DARK_ORANGE: x=892,  y=212,  dx=-0.08717271871384781,  dy=-0.04899915419715292,  clicks=3,  score=3, YELLOW: x=708,  y=189,  dx=0.09831873430913846,  dy=0.01825996943724281,  clicks=0,  score=0,
31.551, 14, Clicked: ORANGE, x=872,  y=215,  RED: x=1224,  y=335,  dx=-0.03873427856937978,  dy=-0.09219357712828853,  clicks=0,  score=0, DARK_ORANGE: x=876,  y=203,  dx=-0.08717271871384781,  dy=-0.04899915419715292,  clicks=4,  score=4, YELLOW: x=725,  y=193,  dx=0.09831873430913846,  dy=0.01825996943724281,  clicks=0,  score=0,
32.233, 15, Clicked: RED, x=1177,  y=280,  DARK_RED: x=1192,  y=260,  dx=-0.03873427856937978,  dy=-0.09219357712828853,  clicks=1,  score=1, ORANGE: x=923,  y=161,  dx=0.09724943573720461,  dy=-0.05181338162317444,  clicks=4,  score=4, YELLOW: x=688,  y=210,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
32.382, 16, Clicked: RED, x=1177,  y=280,  DARK_RED: x=1185,  y=243,  dx=-0.03873427856937978,  dy=-0.09219357712828853,  clicks=2,  score=2, ORANGE: x=940,  y=167,  dx=0.09724943573720461,  dy=0.05181338162317444,  clicks=4,  score=4, YELLOW: x=672,  y=213,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
32.545, 17, Clicked: RED, x=1177,  y=271,  DARK_RED: x=1177,  y=225,  dx=-0.03873427856937978,  dy=-0.09219357712828853,  clicks=3,  score=3, ORANGE: x=960,  y=177,  dx=0.09724943573720461,  dy=0.05181338162317444,  clicks=4,  score=4, YELLOW: x=655,  y=218,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
32.872, 18, Clicked: RED, x=1173,  y=221,  DARK_RED: x=1162,  y=188,  dx=-0.03873427856937978,  dy=-0.09219357712828853,  clicks=4,  score=4, ORANGE: x=998,  y=198,  dx=0.09724943573720461,  dy=0.05181338162317444,  clicks=4,  score=4, YELLOW: x=621,  y=226,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
33.019, 19, Clicked: RED, x=1173,  y=216,  DARK_RED: x=1155,  y=171,  dx=-0.03873427856937978,  dy=-0.09219357712828853,  clicks=5,  score=5, ORANGE: x=1016,  y=207,  dx=0.09724943573720461,  dy=0.05181338162317444,  clicks=4,  score=4, YELLOW: x=605,  y=230,  dx=-0.08610342014191397,  dy=0.02107419686326433,  clicks=0,  score=0,
