Tue 20 Aug 2024, 04:58PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
5.755, 9, Clicked: ORANGE, x=746,  y=198,  RED: x=305,  y=530,  dx=-0.07642874448660897,  dy=0.06937772834535132,  clicks=10,  score=9, DARK_ORANGE: x=727,  y=223,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=7,  score=0, YELLOW: x=422,  y=373,  dx=0.05961743035728507,  dy=-0.07609953891735183,  clicks=0,  score=0,
5.954, 9, Clicked: ORANGE, x=743,  y=222,  RED: x=287,  y=546,  dx=-0.07642874448660897,  dy=0.06937772834535132,  clicks=10,  score=9, DARK_ORANGE: x=725,  y=247,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=8,  score=0, YELLOW: x=437,  y=355,  dx=0.05961743035728507,  dy=-0.07609953891735183,  clicks=0,  score=0,
6.137, 9, Clicked: ORANGE, x=737,  y=242,  RED: x=270,  y=562,  dx=-0.07642874448660897,  dy=0.06937772834535132,  clicks=10,  score=9, DARK_ORANGE: x=724,  y=269,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=9,  score=0, YELLOW: x=450,  y=338,  dx=0.05961743035728507,  dy=-0.07609953891735183,  clicks=0,  score=0,
6.371, 9, Clicked: ORANGE, x=736,  y=276,  RED: x=249,  y=581,  dx=-0.07642874448660897,  dy=0.06937772834535132,  clicks=10,  score=9, DARK_ORANGE: x=722,  y=297,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=10,  score=1, YELLOW: x=466,  y=317,  dx=0.05961743035728507,  dy=-0.07609953891735183,  clicks=0,  score=0,
6.737, 10, Clicked: ORANGE, x=731,  y=339,  RED: x=215,  y=611,  dx=-0.07642874448660897,  dy=0.06937772834535132,  clicks=10,  score=9, DARK_ORANGE: x=719,  y=341,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=11,  score=2, YELLOW: x=493,  y=283,  dx=0.05961743035728507,  dy=-0.07609953891735183,  clicks=0,  score=0,
6.903, 11, Clicked: ORANGE, x=730,  y=368,  RED: x=200,  y=625,  dx=-0.07642874448660897,  dy=0.06937772834535132,  clicks=10,  score=9, DARK_ORANGE: x=718,  y=361,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=12,  score=3, YELLOW: x=505,  y=268,  dx=0.05961743035728507,  dy=-0.07609953891735183,  clicks=0,  score=0,
7.038, 12, Clicked: ORANGE, x=730,  y=368,  RED: x=188,  y=636,  dx=-0.07642874448660897,  dy=0.06937772834535132,  clicks=10,  score=9, DARK_ORANGE: x=717,  y=377,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=13,  score=4, YELLOW: x=514,  y=256,  dx=0.05961743035728507,  dy=-0.07609953891735183,  clicks=0,  score=0,
7.185, 13, Clicked: ORANGE, x=728,  y=381,  RED: x=174,  y=649,  dx=-0.07642874448660897,  dy=0.06937772834535132,  clicks=10,  score=9, DARK_ORANGE: x=716,  y=395,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=14,  score=5, YELLOW: x=525,  y=242,  dx=0.05961743035728507,  dy=-0.07609953891735183,  clicks=0,  score=0,
7.838, 14, Clicked: RED, x=218,  y=717,  DARK_RED: x=205,  y=704,  dx=0.07642874448660897,  dy=0.06937772834535132,  clicks=11,  score=9, ORANGE: x=710,  y=475,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=14,  score=5, YELLOW: x=573,  y=181,  dx=0.05961743035728507,  dy=-0.07609953891735183,  clicks=0,  score=0,
7.985, 14, Clicked: RED, x=244,  y=727,  DARK_RED: x=219,  y=717,  dx=0.07642874448660897,  dy=0.06937772834535132,  clicks=12,  score=9, ORANGE: x=709,  y=493,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=14,  score=5, YELLOW: x=583,  y=168,  dx=0.05961743035728507,  dy=-0.07609953891735183,  clicks=0,  score=0,
8.119, 14, Clicked: RED, x=245,  y=727,  DARK_RED: x=231,  y=728,  dx=0.07642874448660897,  dy=0.06937772834535132,  clicks=13,  score=9, ORANGE: x=708,  y=509,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=14,  score=5, YELLOW: x=593,  y=163,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
8.2, 14, Clicked: RED, x=245,  y=727,  DARK_RED: x=239,  y=735,  dx=0.07642874448660897,  dy=0.06937772834535132,  clicks=14,  score=9, ORANGE: x=708,  y=519,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=14,  score=5, YELLOW: x=599,  y=170,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
8.365, 14, Clicked: RED, x=245,  y=727,  DARK_RED: x=254,  y=731,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=15,  score=10, ORANGE: x=706,  y=539,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=14,  score=5, YELLOW: x=611,  y=185,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
8.499, 15, Clicked: RED, x=245,  y=727,  DARK_RED: x=267,  y=720,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=16,  score=11, ORANGE: x=705,  y=555,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=14,  score=5, YELLOW: x=620,  y=198,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
8.613, 16, Clicked: RED, x=245,  y=727,  DARK_RED: x=277,  y=710,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=17,  score=12, ORANGE: x=704,  y=569,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=14,  score=5, YELLOW: x=629,  y=208,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
8.762, 17, Clicked: RED, x=245,  y=727,  DARK_RED: x=291,  y=698,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, ORANGE: x=703,  y=587,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=14,  score=5, YELLOW: x=639,  y=222,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
8.877, 18, Clicked: None, x=246, y=725,  RED: x=302,  y=688,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, ORANGE: x=702,  y=601,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=14,  score=5, YELLOW: x=648,  y=233,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
9.026, 18, Clicked: None, x=246, y=725,  RED: x=315,  y=676,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, ORANGE: x=701,  y=619,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=14,  score=5, YELLOW: x=658,  y=246,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
9.14, 18, Clicked: None, x=249, y=722,  RED: x=326,  y=666,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, ORANGE: x=700,  y=632,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=14,  score=5, YELLOW: x=667,  y=257,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
9.793, 18, Clicked: ORANGE, x=680,  y=739,  RED: x=387,  y=610,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, DARK_ORANGE: x=695,  y=712,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=15,  score=5, YELLOW: x=714,  y=318,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
9.926, 18, Clicked: ORANGE, x=680,  y=739,  RED: x=399,  y=599,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, DARK_ORANGE: x=694,  y=728,  dx=-0.006505972230971959,  dy=0.09978813719741352,  clicks=16,  score=5, YELLOW: x=724,  y=330,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
10.089, 18, Clicked: ORANGE, x=680,  y=739,  RED: x=415,  y=585,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, DARK_ORANGE: x=693,  y=732,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=17,  score=5, YELLOW: x=736,  y=345,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
10.468, 18, Clicked: ORANGE, x=709,  y=679,  RED: x=450,  y=554,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, DARK_ORANGE: x=690,  y=686,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=18,  score=5, YELLOW: x=763,  y=380,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
10.631, 18, Clicked: ORANGE, x=709,  y=677,  RED: x=465,  y=540,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, DARK_ORANGE: x=688,  y=666,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=19,  score=5, YELLOW: x=775,  y=395,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
10.824, 18, Clicked: ORANGE, x=700,  y=633,  RED: x=484,  y=523,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, DARK_ORANGE: x=687,  y=642,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=20,  score=5, YELLOW: x=790,  y=414,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
10.974, 18, Clicked: ORANGE, x=699,  y=623,  RED: x=497,  y=511,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, DARK_ORANGE: x=686,  y=624,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=21,  score=5, YELLOW: x=800,  y=427,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
11.122, 18, Clicked: ORANGE, x=696,  y=608,  RED: x=511,  y=498,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, DARK_ORANGE: x=684,  y=606,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=22,  score=5, YELLOW: x=811,  y=441,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
11.237, 18, Clicked: ORANGE, x=694,  y=599,  RED: x=522,  y=488,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, DARK_ORANGE: x=684,  y=592,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=23,  score=5, YELLOW: x=819,  y=452,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
11.352, 18, Clicked: ORANGE, x=692,  y=590,  RED: x=532,  y=479,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, DARK_ORANGE: x=683,  y=578,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=24,  score=6, YELLOW: x=828,  y=462,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
11.596, 19, Clicked: ORANGE, x=690,  y=574,  RED: x=555,  y=458,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, DARK_ORANGE: x=681,  y=548,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=25,  score=7, YELLOW: x=846,  y=485,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
11.775, 20, Clicked: ORANGE, x=692,  y=565,  RED: x=572,  y=443,  dx=0.07642874448660897,  dy=-0.06937772834535132,  clicks=18,  score=13, DARK_ORANGE: x=679,  y=526,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=26,  score=8, YELLOW: x=859,  y=502,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
13.658, 21, Clicked: ORANGE, x=834,  y=385,  RED: x=616,  y=170,  dx=0.01349561277014738,  dy=-0.12318294086789508,  clicks=18,  score=13, DARK_ORANGE: x=796,  y=409,  dx=0.056427159485489625,  dy=-0.04598292467486975,  clicks=27,  score=9, YELLOW: x=996,  y=677,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
13.772, 22, Clicked: ORANGE, x=834,  y=387,  RED: x=618,  y=164,  dx=0.01349561277014738,  dy=0.12318294086789508,  clicks=18,  score=13, DARK_ORANGE: x=804,  y=403,  dx=0.056427159485489625,  dy=-0.04598292467486975,  clicks=28,  score=10, YELLOW: x=1004,  y=688,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
13.887, 23, Clicked: ORANGE, x=834,  y=387,  RED: x=620,  y=182,  dx=0.01349561277014738,  dy=0.12318294086789508,  clicks=18,  score=13, DARK_ORANGE: x=812,  y=397,  dx=0.056427159485489625,  dy=-0.04598292467486975,  clicks=29,  score=11, YELLOW: x=1013,  y=698,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
14.021, 24, Clicked: ORANGE, x=834,  y=387,  RED: x=622,  y=201,  dx=0.01349561277014738,  dy=0.12318294086789508,  clicks=18,  score=13, DARK_ORANGE: x=821,  y=389,  dx=0.056427159485489625,  dy=-0.04598292467486975,  clicks=30,  score=12, YELLOW: x=1022,  y=710,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
14.121, 25, Clicked: ORANGE, x=834,  y=387,  RED: x=623,  y=216,  dx=0.01349561277014738,  dy=0.12318294086789508,  clicks=18,  score=13, DARK_ORANGE: x=828,  y=384,  dx=0.056427159485489625,  dy=-0.04598292467486975,  clicks=31,  score=12, YELLOW: x=1029,  y=720,  dx=0.05961743035728507,  dy=0.07609953891735183,  clicks=0,  score=0,
################# INIT balls ######################
15.007, Init stimuli, 25, 
################# INIT balls ######################
25.011000000000003, Init stimuli, 25, 
